,R9
0,1133
1,1133
2,1133
3,1138
4,1133
5,1133
6,1133
7,1133
8,1133
9,1136
10,1133
11,1134
12,1133
13,1136
14,1134
15,1135
16,1136
17,1133
18,1133
19,1133
20,1133
21,1133
22,1133
23,1136
24,1133
25,1133
26,1133
27,1133
28,1140
29,1135
30,1135
31,1133
32,1136
33,1136
34,1133
35,1133
36,1133
37,1139
38,1133
39,1135
40,1133
41,1137
42,1133
43,1137
44,1133
45,1138
46,1133
47,1136
48,1135
49,1133
50,1139
51,1139
52,1138
53,1134
54,1135
55,1135
56,1138
57,1138
58,1138
59,1138
60,1138
61,1138
62,1138
63,1138
64,1138
65,1138
66,1138
67,1138
68,1138
69,1136
70,1138
71,1138
72,1133
73,1139
74,1134
75,1134
76,1135
77,1136
78,1135
79,1135
80,1139
81,1133
82,1137
83,1134
84,1135
85,1133
86,1134
87,1135
88,1134
89,1138
90,1133
91,1135
92,1134
93,1133
94,1133
95,1140
96,1133
97,1134
98,1134
99,1140
100,1133
101,1140
102,1133
103,1135
104,1135
105,1139
106,1135
107,1136
108,1136
109,1136
110,1136
111,1136
112,1136
113,1136
114,1136
115,1135
116,1136
117,1135
118,1136
119,1136
120,1136
121,1136
122,1136
123,1136
124,1136
125,1136
126,1135
127,1135
128,1135
129,1135
130,1139
131,1138
132,1133
133,1139
134,1140
135,1141
136,1133
137,1133
138,1134
139,1134
140,1134
141,1134
142,1137
143,1134
144,1134
145,1134
146,1134
147,1134
148,1134
149,1134
150,1134
151,1134
152,1137
153,1135
154,1139
155,1139
156,1133
157,1139
158,1137
159,1136
160,1136
161,1136
162,1136
163,1136
164,1136
165,1136
166,1136
167,1136
168,1136
169,1136
170,1136
171,1136
172,1136
173,1136
174,1136
175,1136
176,1136
177,1136
178,1136
179,1136
180,1136
181,1136
182,1134
183,1134
184,1134
185,1133
186,1134
187,1139
188,1134
189,1134
190,1134
191,1135
192,1135
193,1135
194,1136
195,1135
196,1135
197,1135
198,1135
199,1135
200,1135
201,1135
202,1135
203,1135
204,1135
205,1135
206,1135
207,1135
208,1135
209,1135
210,1135
211,1135
212,1135
213,1135
214,1135
215,1135
216,1135
217,1135
218,1135
219,1135
220,1135
221,1135
222,1136
223,1136
224,1136
225,1140
226,1133
227,1139
228,1134
229,1133
230,1133
231,1133
232,1133
233,1133
234,1139
235,1133
236,1139
237,1141
238,1133
239,1133
240,1139
241,1141
242,1137
243,1138
244,1133
245,1133
246,1133
247,1137
248,1133
249,1133
250,1135
251,1133
