,R13
0,1133
1,1133
2,1133
3,1140
4,1133
5,1133
6,1133
7,1133
8,1133
9,1136
10,1133
11,1134
12,1133
13,1136
14,1134
15,1137
16,1135
17,1133
18,1133
19,1133
20,1133
21,1133
22,1133
23,1136
24,1133
25,1133
26,1133
27,1133
28,1135
29,1137
30,1135
31,1133
32,1136
33,1136
34,1133
35,1133
36,1133
37,1138
38,1133
39,1137
40,1138
41,1139
42,1133
43,1139
44,1133
45,1140
46,1135
47,1139
48,1137
49,1133
50,1138
51,1138
52,1140
53,1134
54,1137
55,1137
56,1140
57,1140
58,1140
59,1140
60,1140
61,1140
62,1140
63,1140
64,1140
65,1140
66,1140
67,1140
68,1140
69,1136
70,1140
71,1140
72,1138
73,1133
74,1134
75,1134
76,1137
77,1136
78,1137
79,1137
80,1138
81,1133
82,1139
83,1134
84,1137
85,1133
86,1134
87,1137
88,1134
89,1140
90,1138
91,1137
92,1134
93,1138
94,1133
95,1141
96,1133
97,1136
98,1134
99,1141
100,1133
101,1141
102,1133
103,1137
104,1137
105,1138
106,1137
107,1136
108,1136
109,1136
110,1136
111,1136
112,1136
113,1136
114,1135
115,1137
116,1136
117,1137
118,1136
119,1136
120,1136
121,1135
122,1136
123,1136
124,1135
125,1136
126,1137
127,1137
128,1137
129,1137
130,1138
131,1140
132,1133
133,1138
134,1141
135,1141
136,1133
137,1133
138,1134
139,1134
140,1134
141,1134
142,1139
143,1134
144,1134
145,1134
146,1134
147,1134
148,1134
149,1134
150,1134
151,1134
152,1139
153,1137
154,1138
155,1138
156,1133
157,1138
158,1139
159,1140
160,1136
161,1137
162,1136
163,1136
164,1136
165,1136
166,1136
167,1136
168,1136
169,1136
170,1136
171,1136
172,1136
173,1136
174,1136
175,1136
176,1136
177,1136
178,1136
179,1136
180,1136
181,1136
182,1134
183,1134
184,1134
185,1133
186,1134
187,1138
188,1134
189,1134
190,1134
191,1137
192,1137
193,1137
194,1135
195,1137
196,1137
197,1137
198,1137
199,1137
200,1137
201,1137
202,1137
203,1137
204,1137
205,1137
206,1137
207,1137
208,1137
209,1137
210,1137
211,1137
212,1137
213,1137
214,1137
215,1137
216,1137
217,1137
218,1137
219,1137
220,1137
221,1137
222,1135
223,1135
224,1135
225,1141
226,1133
227,1138
228,1134
229,1133
230,1138
231,1133
232,1133
233,1133
234,1138
235,1133
236,1138
237,1142
238,1133
239,1133
240,1138
241,1141
242,1139
243,1140
244,1133
245,1133
246,1133
247,1139
248,1133
249,1133
250,1137
251,1133
