,R11
0,1133
1,1133
2,1133
3,1138
4,1133
5,1133
6,1133
7,1133
8,1133
9,1135
10,1133
11,1134
12,1133
13,1135
14,1134
15,1136
16,1135
17,1133
18,1133
19,1133
20,1133
21,1133
22,1133
23,1135
24,1133
25,1133
26,1133
27,1133
28,1140
29,1136
30,1133
31,1133
32,1135
33,1135
34,1133
35,1133
36,1133
37,1133
38,1133
39,1136
40,1133
41,1137
42,1133
43,1137
44,1133
45,1138
46,1133
47,1135
48,1136
49,1133
50,1139
51,1133
52,1138
53,1134
54,1136
55,1136
56,1138
57,1138
58,1138
59,1138
60,1138
61,1138
62,1138
63,1138
64,1138
65,1138
66,1138
67,1138
68,1138
69,1135
70,1138
71,1138
72,1140
73,1133
74,1134
75,1134
76,1136
77,1135
78,1136
79,1136
80,1133
81,1133
82,1137
83,1134
84,1136
85,1133
86,1134
87,1136
88,1134
89,1138
90,1133
91,1136
92,1134
93,1133
94,1133
95,1140
96,1133
97,1134
98,1133
99,1140
100,1133
101,1140
102,1133
103,1136
104,1136
105,1139
106,1136
107,1135
108,1135
109,1135
110,1135
111,1135
112,1135
113,1135
114,1135
115,1136
116,1135
117,1136
118,1135
119,1135
120,1135
121,1135
122,1135
123,1135
124,1135
125,1135
126,1136
127,1136
128,1136
129,1136
130,1133
131,1138
132,1133
133,1133
134,1133
135,1141
136,1133
137,1133
138,1134
139,1134
140,1134
141,1134
142,1137
143,1134
144,1134
145,1134
146,1134
147,1134
148,1134
149,1134
150,1134
151,1134
152,1137
153,1136
154,1133
155,1133
156,1133
157,1139
158,1137
159,1141
160,1135
161,1135
162,1135
163,1135
164,1135
165,1135
166,1135
167,1135
168,1135
169,1135
170,1135
171,1135
172,1135
173,1135
174,1135
175,1135
176,1135
177,1135
178,1135
179,1135
180,1135
181,1135
182,1134
183,1134
184,1134
185,1133
186,1134
187,1139
188,1134
189,1134
190,1134
191,1136
192,1136
193,1136
194,1135
195,1136
196,1136
197,1136
198,1136
199,1136
200,1136
201,1136
202,1136
203,1136
204,1136
205,1136
206,1136
207,1136
208,1136
209,1136
210,1136
211,1136
212,1136
213,1136
214,1136
215,1136
216,1136
217,1136
218,1136
219,1136
220,1136
221,1136
222,1135
223,1135
224,1135
225,1140
226,1133
227,1133
228,1134
229,1133
230,1133
231,1133
232,1133
233,1133
234,1139
235,1133
236,1133
237,1141
238,1133
239,1133
240,1133
241,1141
242,1137
243,1138
244,1133
245,1133
246,1133
247,1137
248,1133
249,1133
250,1136
251,1133
